,,,,,,,,
anger,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anticipation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
disgust,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fear,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
joy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
sadness,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
surprise,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
🌈,0.0,0.28,0.0,0.0,0.69,0.06,0.22,0.33
🌙,0.0,0.31,0.0,0.0,0.25,0.0,0.06,0.25
🌚,0.06,0.08,0.17,0.06,0.42,0.19,0.06,0.11
🌞,0.0,0.22,0.0,0.0,0.78,0.0,0.11,0.22
🌟,0.0,0.28,0.0,0.0,0.53,0.0,0.25,0.31
🌷,0.0,0.31,0.0,0.0,0.44,0.0,0.0,0.22
🌸,0.0,0.22,0.0,0.0,0.56,0.0,0.14,0.25
🌹,0.0,0.36,0.0,0.0,0.56,0.0,0.11,0.72
🌺,0.0,0.11,0.0,0.0,0.39,0.0,0.06,0.19
🍀,0.0,0.39,0.0,0.0,0.47,0.0,0.22,0.44
🍃,0.0,0.31,0.0,0.0,0.11,0.17,0.03,0.06
🍕,0.06,0.39,0.06,0.06,0.47,0.06,0.17,0.17
🍻,0.0,0.44,0.0,0.0,0.72,0.0,0.25,0.53
🎀,0.0,0.42,0.0,0.0,0.44,0.0,0.36,0.22
🎈,0.06,0.25,0.06,0.06,0.47,0.06,0.31,0.22
🎉,0.0,0.33,0.0,0.0,0.92,0.0,0.5,0.33
🎤,0.0,0.39,0.0,0.06,0.39,0.08,0.08,0.25
🎥,0.0,0.28,0.0,0.0,0.19,0.0,0.17,0.17
🎧,0.0,0.08,0.0,0.0,0.44,0.0,0.0,0.03
🎵,0.0,0.25,0.0,0.0,0.47,0.08,0.08,0.17
🎶,0.0,0.22,0.0,0.0,0.47,0.0,0.22,0.14
👀,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
👅,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11
👇,0.11,0.14,0.0,0.06,0.0,0.0,0.0,0.11
👈,0.14,0.17,0.0,0.0,0.0,0.0,0.06,0.08
👉,0.06,0.25,0.0,0.0,0.0,0.0,0.03,0.17
👊,0.44,0.36,0.14,0.11,0.22,0.0,0.0,0.61
👋,0.08,0.28,0.06,0.0,0.22,0.0,0.08,0.22
👌,0.0,0.36,0.0,0.0,0.22,0.0,0.22,0.56
👍,0.11,0.39,0.06,0.08,0.39,0.06,0.14,0.47
👎,0.5,0.08,0.67,0.14,0.0,0.31,0.14,0.06
👏,0.08,0.39,0.08,0.0,0.64,0.0,0.25,0.53
👑,0.0,0.25,0.0,0.0,0.28,0.0,0.11,0.25
👻,0.11,0.08,0.08,0.69,0.0,0.11,0.31,0.08
💀,0.19,0.14,0.25,0.61,0.03,0.31,0.06,0.11
💁,0.08,0.33,0.08,0.06,0.14,0.06,0.17,0.25
💃,0.0,0.11,0.0,0.0,0.69,0.0,0.17,0.19
💋,0.0,0.28,0.0,0.0,0.78,0.0,0.19,0.69
💎,0.0,0.31,0.0,0.06,0.33,0.0,0.25,0.5
💐,0.0,0.39,0.0,0.0,0.69,0.11,0.36,0.58
💓,0.0,0.47,0.0,0.08,0.61,0.0,0.19,0.67
💔,0.39,0.19,0.33,0.14,0.0,0.94,0.08,0.17
💕,0.0,0.31,0.0,0.0,0.83,0.0,0.11,0.75
💖,0.0,0.33,0.0,0.0,0.89,0.0,0.25,0.53
💗,0.0,0.36,0.0,0.0,0.89,0.0,0.22,0.5
💘,0.03,0.31,0.06,0.06,0.67,0.14,0.06,0.64
💙,0.0,0.25,0.0,0.0,0.61,0.17,0.17,0.28
💚,0.0,0.11,0.0,0.0,0.58,0.03,0.03,0.33
💛,0.03,0.11,0.06,0.0,0.53,0.08,0.08,0.36
💜,0.0,0.11,0.06,0.06,0.47,0.11,0.08,0.31
💞,0.0,0.25,0.0,0.0,0.83,0.0,0.22,0.61
💤,0.06,0.36,0.19,0.06,0.11,0.14,0.06,0.22
💥,0.44,0.19,0.19,0.31,0.11,0.14,0.31,0.08
🌹 ,0.44,0.19,0.19,0.31,0.11,0.14,0.31,0.08
💦,0.0,0.11,0.11,0.06,0.0,0.14,0.0,0.0
💩,0.14,0.08,0.64,0.0,0.25,0.03,0.19,0.11
💪,0.03,0.31,0.0,0.0,0.42,0.0,0.08,0.31
💫,0.0,0.19,0.0,0.06,0.44,0.0,0.19,0.11
💭,0.11,0.64,0.11,0.11,0.17,0.11,0.17,0.22
💯,0.06,0.28,0.06,0.06,0.64,0.06,0.19,0.53
💰,0.0,0.58,0.0,0.06,0.47,0.06,0.25,0.36
📷,0.0,0.19,0.03,0.0,0.14,0.0,0.08,0.08
🔞,0.11,0.11,0.08,0.03,0.08,0.11,0.0,0.19
🔥,0.47,0.22,0.14,0.17,0.25,0.11,0.39,0.14
🔫,0.44,0.14,0.17,0.14,0.03,0.14,0.0,0.11
🔴,0.08,0.06,0.0,0.11,0.0,0.03,0.19,0.0
😀,0.06,0.22,0.06,0.06,0.69,0.06,0.14,0.25
😁,0.06,0.25,0.0,0.08,0.89,0.06,0.33,0.36
😂,0.0,0.17,0.06,0.06,0.94,0.0,0.33,0.22
😃,0.0,0.31,0.0,0.06,0.83,0.0,0.33,0.36
😄,0.0,0.36,0.0,0.0,0.86,0.0,0.28,0.28
😅,0.08,0.44,0.06,0.28,0.42,0.06,0.36,0.17
😆,0.06,0.19,0.06,0.06,0.94,0.06,0.25,0.31
😇,0.0,0.31,0.0,0.0,0.72,0.0,0.17,0.5
😈,0.14,0.44,0.06,0.19,0.33,0.08,0.03,0.0
😉,0.0,0.42,0.0,0.0,0.44,0.08,0.28,0.47
😊,0.0,0.42,0.0,0.0,0.92,0.0,0.33,0.47
😋,0.0,0.47,0.0,0.0,0.78,0.0,0.19,0.11
😌,0.0,0.33,0.0,0.11,0.81,0.0,0.22,0.61
😍,0.0,0.31,0.0,0.0,0.83,0.0,0.5,0.5
😎,0.0,0.22,0.0,0.0,0.75,0.0,0.06,0.33
😏,0.22,0.33,0.28,0.14,0.22,0.22,0.11,0.22
😐,0.14,0.33,0.31,0.17,0.06,0.25,0.31,0.08
😑,0.28,0.22,0.47,0.14,0.0,0.33,0.19,0.17
😒,0.58,0.14,0.64,0.17,0.0,0.42,0.11,0.0
😓,0.19,0.44,0.31,0.64,0.0,0.36,0.17,0.11
😔,0.25,0.22,0.31,0.28,0.0,0.72,0.19,0.14
😕,0.19,0.42,0.36,0.36,0.0,0.39,0.28,0.17
😖,0.22,0.36,0.67,0.5,0.08,0.53,0.11,0.11
😘,0.0,0.33,0.0,0.0,0.72,0.0,0.17,0.61
😙,0.0,0.47,0.0,0.0,0.83,0.0,0.17,0.83
😚,0.0,0.44,0.0,0.0,0.86,0.0,0.22,0.67
😛,0.0,0.31,0.0,0.03,0.69,0.0,0.28,0.19
😜,0.0,0.42,0.0,0.06,0.64,0.0,0.28,0.11
😝,0.0,0.22,0.06,0.08,0.83,0.0,0.22,0.14
😞,0.39,0.19,0.5,0.33,0.0,0.92,0.06,0.08
😟,0.25,0.44,0.44,0.72,0.0,0.69,0.17,0.08
😠,1.0,0.17,0.56,0.17,0.0,0.25,0.11,0.08
😡,1.0,0.11,0.56,0.11,0.0,0.36,0.08,0.06
😢,0.25,0.08,0.36,0.5,0.0,1.0,0.08,0.11
😣,0.31,0.28,0.67,0.47,0.0,0.64,0.0,0.08
😤,0.75,0.11,0.64,0.14,0.0,0.25,0.03,0.0
😥,0.14,0.19,0.25,0.33,0.03,0.81,0.08,0.06
😨,0.17,0.39,0.33,0.97,0.0,0.56,0.39,0.14
😩,0.33,0.25,0.5,0.47,0.0,0.75,0.14,0.08
😪,0.11,0.08,0.44,0.28,0.0,0.64,0.06,0.0
😫,0.36,0.14,0.64,0.17,0.11,0.72,0.06,0.06
😬,0.14,0.53,0.28,0.44,0.17,0.11,0.25,0.11
😭,0.22,0.08,0.36,0.33,0.0,1.0,0.08,0.08
😰,0.22,0.31,0.39,0.83,0.0,0.69,0.08,0.06
😱,0.28,0.42,0.42,0.92,0.06,0.25,0.69,0.11
😳,0.06,0.36,0.33,0.5,0.14,0.19,0.44,0.08
😴,0.0,0.06,0.14,0.0,0.03,0.03,0.0,0.03
😶,0.06,0.22,0.33,0.36,0.0,0.14,0.19,0.03
😷,0.03,0.17,0.53,0.5,0.0,0.22,0.03,0.11
😹,0.0,0.17,0.0,0.0,0.94,0.0,0.14,0.28
😻,0.0,0.42,0.0,0.0,0.75,0.06,0.33,0.42
🙅,0.47,0.25,0.53,0.33,0.06,0.33,0.11,0.19
🙆,0.03,0.33,0.0,0.0,0.39,0.0,0.03,0.61
🙈,0.0,0.39,0.17,0.17,0.28,0.03,0.5,0.22
🙊,0.06,0.44,0.19,0.47,0.14,0.08,0.42,0.28
🙋,0.0,0.53,0.0,0.0,0.44,0.0,0.19,0.25
🙌,0.0,0.33,0.0,0.0,0.72,0.0,0.39,0.47
🙏,0.06,0.44,0.0,0.11,0.25,0.11,0.17,0.58
‼,0.44,0.42,0.11,0.06,0.14,0.0,0.89,0.03
↩,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.08
↪,0.06,0.19,0.0,0.0,0.0,0.0,0.0,0.11
▶,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.0
◀,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.11
☀,0.0,0.22,0.0,0.0,0.44,0.0,0.06,0.14
☑,0.0,0.22,0.0,0.0,0.25,0.0,0.0,0.47
☝,0.11,0.31,0.11,0.11,0.03,0.11,0.0,0.17
☺,0.0,0.42,0.0,0.0,1.0,0.0,0.39,0.5
♥,0.0,0.28,0.0,0.0,0.72,0.0,0.11,0.56
♻,0.03,0.19,0.03,0.0,0.03,0.03,0.0,0.28
⚡,0.28,0.31,0.06,0.25,0.08,0.0,0.36,0.14
⚽,0.0,0.33,0.0,0.06,0.25,0.0,0.0,0.06
✅,0.0,0.31,0.0,0.0,0.19,0.0,0.0,0.33
✈,0.0,0.44,0.0,0.11,0.28,0.11,0.19,0.28
✊,0.25,0.5,0.17,0.11,0.03,0.11,0.08,0.36
✋,0.22,0.25,0.19,0.11,0.06,0.06,0.08,0.28
✌,0.0,0.42,0.0,0.0,0.61,0.0,0.17,0.47
✔,0.0,0.25,0.0,0.0,0.14,0.0,0.0,0.36
✨,0.0,0.36,0.0,0.06,0.53,0.0,0.44,0.31
❄,0.11,0.33,0.14,0.17,0.28,0.14,0.22,0.17
❌,0.5,0.14,0.58,0.25,0.0,0.31,0.08,0.06
❗,0.44,0.42,0.31,0.42,0.08,0.17,0.81,0.11
❤,0.0,0.36,0.0,0.0,0.69,0.0,0.14,0.67
➡,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.22
⬅,0.17,0.14,0.17,0.14,0.0,0.14,0.03,0.06
⭐,0.0,0.17,0.0,0.0,0.39,0.0,0.17,0.22
